Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,175.66,1.0
KMB,19.24,2.0
AAPL,16.0,3.0
NVDA,13.85,4.0
MSFT,13.64,5.0
AMD,12.7,6.0
NUE,10.55,7.0
CVS,7.97,8.0
O,7.88,9.0
PG,7.84,10.0
DVN,4.72,11.0
CNC,4.29,12.0
XOM,3.95,13.0
COP,3.61,14.0
FCX,3.6,15.0
CSX,3.53,16.0
MDLZ,3.38,17.0
WFC,3.11,18.0
RF,2.95,19.0
BAC,2.92,20.0
FB,2.13,21.0
HAL,1.65,22.0
KEY,1.3,23.0
ORCL,1.26,24.0
NEM,1.03,25.0
HBAN,0.96,26.0
CVX,0.7,27.0
WMB,0.68,28.0
EBAY,0.66,29.0
PBCT,0.52,30.0
MRO,0.51,31.0
APA,0.43,32.0
F,-0.38,33.0
PFE,-0.4,34.0
KMI,-0.46,35.0
CMCSA,-0.82,36.0
OXY,-1.03,37.0
DISCA,-1.3,38.0
GM,-1.32,39.0
GE,-1.35,40.0
HPE,-1.39,41.0
INTC,-1.54,42.0
WBA,-1.6,43.0
VTRS,-1.79,44.0
LUMN,-1.81,45.0
JNJ,-2.23,46.0
CSCO,-2.31,47.0
KHC,-3.12,48.0
IVZ,-3.16,49.0
CL,-3.18,50.0
HPQ,-3.41,51.0
LVS,-3.73,52.0
CTRA,-3.96,53.0
ATVI,-4.02,54.0
KR,-4.73,55.0
MPC,-5.04,56.0
KO,-5.56,57.0
GLW,-5.86,58.0
V,-6.03,59.0
GPS,-6.45,60.0
T,-6.73,61.0
VZ,-7.21,62.0
SYF,-7.34,63.0
AAL,-7.96,64.0
C,-8.1,65.0
NCLH,-8.33,66.0
QCOM,-8.47,67.0
JPM,-8.59,68.0
MO,-9.36,69.0
CCL,-9.46,70.0
VIAC,-10.49,71.0
SBUX,-10.64,72.5
BMY,-10.64,72.5
UAL,-11.66,74.0
DAL,-13.45,75.0
MU,-15.32,76.0
GILD,-15.67,77.0
LUV,-18.34,78.0
WMT,-19.0,79.0
AMAT,-22.15,80.0
TJX,-24.6,81.0
MRK,-27.96,82.0
MRNA,-28.77,83.0
DIS,-29.06,84.0
IBM,-34.44,85.0
BA,-89.67,86.0
PYPL,-112.18,87.0
